Season,Sector,Category,Crop,QueryType,QueryText,KCCAns,StateName,DistrictName,BlockName,CreatedOn
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Market Information,Gingee Paddy market rate,Recommended for other variety paddy Rs.1400-1785/ Quintal,PUDUCHERRY,PUDUCHERRY,Nettapakkam,2016-09-07 13:56:57
KHARIF,AGRICULTURE,Others,Others,Plant Protection,Asking about Root rot management in casurina,Recommended for carbendazim 2 gram / litre of water,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-09-08 15:34:01
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Plant Protection,Asking about carbofuron application for paddy nursery,Recommended for apply carbofuron 33 gram /cent,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-09-09 8:37:45
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Plant Protection,Thrips attack in paddy nursery,Recommended for spray Azadirachtin 3 ml / litre of water,PUDUCHERRY,PUDUCHERRY,VILLIANUR,2016-09-09 13:57:47
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,top fertilizer management for paddy,Recommended for apply urea 25kg + Potash 15kg + Neemcake 5kg + MN mixture 5kg/ac,PUDUCHERRY,PUDUCHERRY,Nettapakkam,2016-09-14 13:28:34
KHARIF,AGRICULTURE,Others,Others,Credit,Asked about how to apply crop loan,recommended for prepare to complete project report and contact to near nationalized bank,PUDUCHERRY,PUDUCHERRY,BAHOUR,2016-09-15 16:02:04
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Paddy basal fertilizer,Recommended for apply DAP 50 kg + zinc sulphate 10kg + neem cake 10 kg/ac,PUDUCHERRY,PUDUCHERRY,Nettapakkam,2016-09-17 16:22:16
KHARIF,AGRICULTURE,Sugar and Starch Crops,Tapioca (Cassava),Fertilizer Use and Availability,Asking about basal fertilizer management for tapioca,Recommended for Apply urea 40 kg + supper phosphate 225 kg + potash 80 kg /acre,PUDUCHERRY,PUDUCHERRY,ARIYANKUPPAM,2016-09-17 18:31:48
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Weed Management,Weed management for paddy,Recommended for apply Butachlor 600 gram + 20 kg of sand.,PUDUCHERRY,PUDUCHERRY,VILLIANUR,2016-09-18 6:45:48
KHARIF,HORTICULTURE,Flowers,Chrysanthemum,Plant Protection,asking about chrysanthemum root rot,recommended for apply pseudomonas fluorescens - 1 kg + FYM - 25 kg/ acre,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-09-20 15:16:28
KHARIF,AGRICULTURE,Others,Others,Cultural Practices,Casurina planting spacing  information,recommended for Casurina planting spacing  : 1.8 x 1.8 m,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-09-20 20:18:58
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,top dressing for paddy,recommended for apply urea 25kg+potash 15kg+neemcake 10kg/ac,PUDUCHERRY,PUDUCHERRY,ARIYANKUPPAM,2016-09-21 13:53:25
KHARIF,AGRICULTURE,Others,Others,Weather,weather detail for Puduchery,Recommended for today have heavy Rain,PUDUCHERRY,PUDUCHERRY,ARIYANKUPPAM,2016-09-21 13:56:10
KHARIF,HORTICULTURE,Vegetables,Brinjal,Plant Protection,asking about brinjal shoot borer management,recommended for spray Chlorpyrifos- 2 ml/ lit of water,PUDUCHERRY,PUDUCHERRY,ARIYANKUPPAM,2016-09-23 12:04:05
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,paddy seed treatment,Recommended for Apply Pseudomonas fluorescens 10gm / kg of seeds / liter,PUDUCHERRY,PUDUCHERRY,VILLIANUR,2016-09-23 19:34:45
KHARIF,HORTICULTURE,Vegetables,Brinjal,Plant Protection,fruit borer in brinjal,Recommended for spray Dimethoate 2ml + teepol 1ml + neemoil 3ml/lit of water,PUDUCHERRY,PUDUCHERRY,Nettapakkam,2016-09-25 6:46:13
KHARIF,AGRICULTURE,Others,Others,Plant Protection,asking about casurina root rot management,recommended for drench with copper oxy chloride 2.5 g / lit of water.,PUDUCHERRY,PUDUCHERRY,Mannadipet,2016-09-27 9:47:02
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Sowing Time and Weather,Sowing season and varieties for paddy,"Recommedned for sowing (December-January)and varieties  ADT 36, ADT 39, ASD 16, ASD 18, ADT 43, ADT (R) 45, MDU 5, CO 47,CORH 3, ADT 43, ADT (R) 45",PUDUCHERRY,PUDUCHERRY,ARIYANKUPPAM,2016-09-27 10:19:19
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Cultural Practices,paddy nursery management,Recommedned for spray neem oil 3 ml/lit,PUDUCHERRY,PUDUCHERRY,VILLIANUR,2016-09-27 10:54:06
KHARIF,AGRICULTURE,Others,Others,Weed Management,weed control for korai,Recommended for  spray glyphosate 10 ml + 20g ammonium sulphate + 2 ml soap solution / litre of water before flowering,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-09-27 21:15:10
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Paddy top dressing fertilizer application,Recommended for apply micro nutrient mixture(micro food) 5 kg / acre,PUDUCHERRY,PUDUCHERRY,VILLIANUR,2016-09-28 10:11:08
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Plant Protection,root rot in paddy,Recommended for soil application of Trichoderma viride 1 kg + 20 kg sand / ac,PUDUCHERRY,PUDUCHERRY,VILLIANUR,2016-09-28 18:39:38
KHARIF,AGRICULTURE,Pulses,Black Gram (urd bean),Varieties,Black gram seeds availability information,"Recommended for contact to Krishi Vigyan Kendra , Vridhachalam , 04143-238353",PUDUCHERRY,PUDUCHERRY,VILLIANUR,2016-09-29 11:40:21
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Seeds,asking about TKM 13 seeds availability information,"Recommneded for Rice Research Station, Tirur contact no. 044 - 27620233",PUDUCHERRY,PUDUCHERRY,Puducherry,2016-09-29 17:18:08
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,Asking about paddy TKM 13 crop duration,Recommended for paddy TKM 13 crop duration is 130-135 days,PUDUCHERRY,PUDUCHERRY,VILLIANUR,2016-09-29 17:30:56
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,paddy basal fertilizer management,Recommended for apply DAP 50 kg + zinc sulphate 10 kg + neem cake 10kg + FYM 10ton /ac,PUDUCHERRY,PUDUCHERRY,ARIYANKUPPAM,2016-09-30 15:57:18
KHARIF,AGRICULTURE,Others,Others,Weather,weather Report,Recommended for Today No Rain Fall,PUDUCHERRY,PUDUCHERRY,ARIYANKUPPAM,2016-10-01 10:51:07
KHARIF,HORTICULTURE,Vegetables,Brinjal,Plant Protection,shoot and fruit borer in brinjal,Recommended for spray chloripyriphos 2ml / lit of water,PUDUCHERRY,PUDUCHERRY,Mannadipet,2016-10-02 11:48:32
RABI,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Top dressing fertilizer management for paddy,Recommended for apply urea 25 kg + potash 15 kg+ mn mixture 5 kg/ac.,PUDUCHERRY,PUDUCHERRY,VILLIANUR,2016-10-03 11:23:32
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,basal application for paddy,recommended for apply urea 30kg + SSP 125kg+ potash 15kg+neencake 20kg+zinc sulphate 15kg/ac,PUDUCHERRY,PUDUCHERRY,Nettapakkam,2016-10-05 17:27:32
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,paddy suitable variety in pondicherry,"recommended for I.White Ponni, CO 43, CR 1009, ADT 38, TRY 1*, ASD 19, ADT (R) 44, CORH 4, CO (R) 48, CO (R) 49, CO (R) 50, ADT (R) 49, TNAU Rice ADT 50",PUDUCHERRY,PUDUCHERRY,Mannadipet,2016-10-06 10:10:45
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Inducing more tillering in paddy crop,Recommended for apply  micro food 5 kg mixed with 20 kg of sand /acre,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-10-07 13:58:26
KHARIF,HORTICULTURE,Vegetables,Brinjal,Nutrient Management,Brinjal foliar spray information,Recommended for spray 19 : 19 : 19 5 g / 1 litre of water,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-10-08 10:55:19
KHARIF,HORTICULTURE,Vegetables,Brinjal,Nutrient Management,Asking about foliar nutrient spray for brinjal,Recommended for spray 19:19:19- 5 gram /litre of water,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-10-09 7:15:38
KHARIF,HORTICULTURE,Vegetables,Brinjal,Nutrient Management,Brinjal Growth regulators application,Recommended for Spray 2 ppm (2 mg/ lit of water) Triacontanol + Sodium Borate(Borax) or Borax 35 mg/l of water 15 days after transplanting and at the time of full bloom to increase the yield.,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-10-09 7:46:22
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,asking about paddy foliar application application,Recommended for spray urea 2.5 g + zinc 2.5 g / litre of water,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-10-09 10:25:41
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,asking about paddy fertilizer management,recommended for apply zinc sulphate 10 kg / ac,PUDUCHERRY,PUDUCHERRY,BAHOUR,2016-10-10 9:17:40
KHARIF,HORTICULTURE,Fruits,Guava,Nutrient Management,asking for the management of guava fruit canker,recommended for the spray with 1% Bordeaux mixture or lime-sulphur (1 in 25) – 3 or 4 sprayings.,PUDUCHERRY,PUDUCHERRY,Nettapakkam,2016-10-11 19:48:48
RABI,AGRICULTURE,Cereals,Paddy (Dhan),Plant Protection,Thrips in paddy,Recommended for spray Dimethoate 2 ml+ Teepol 1 ml/litre of water.,PUDUCHERRY,PUDUCHERRY,VILLIANUR,2016-10-11 19:57:34
RABI,AGRICULTURE,Pulses,Black Gram (urd bean),Varieties,Sowing suitable varieties for black gram,"Recommended for varieties VBN 3, VBN (Bg) 4, VBN (Bg) 5, TNAU (Blackgram) VBN 6, TNAU (Blackgram) Co 6, APK 1",PUDUCHERRY,PUDUCHERRY,OZHUKARAI,2016-10-11 20:36:01
RABI,AGRICULTURE,Others,Others,Weather,Weather report for Pondicherry,Recommended for today have light rainfall.,PUDUCHERRY,PUDUCHERRY,VILLIANUR,2016-10-11 20:44:48
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Bio-Pesticides and Bio-Fertilizers,Manuring of Paddy as a basal,Recommended for apply Pseudomonas 1kg + FYM /acre,PUDUCHERRY,PUDUCHERRY,VILLIANUR,2016-10-12 7:14:49
KHARIF,HORTICULTURE,Plantation Crops,Cashew,Plant Protection,asking about cashew stem borer,recommended for Root feeding with Monocrotophos 36 WSC 10 ml + 10 ml of water kept in a polythene bag on one side of the tree,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-10-13 10:04:57
RABI,AGRICULTURE,Others,Others,Field Preparation,Casurina weed management,Recommended for only for hand weeding.,PUDUCHERRY,PUDUCHERRY,OZHUKARAI,2016-10-14 13:27:24
KHARIF,AGRICULTURE,Pulses,Black Gram (urd bean),Cultural Practices,asking about blackgram sowing season,recommended for Puratasipattam (September-November) suitable for planting,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-10-15 21:19:26
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,foliar spray for paddy nursery,recommended for spray urea 5gm/lit of water,PUDUCHERRY,PUDUCHERRY,ARIYANKUPPAM,2016-10-16 12:06:48
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,basal application for paddy,recommended for apply urea 30kg + SSP 125kg+ potash 15kg+neencake 20kg+zinc sulphate 15kg/ac,PUDUCHERRY,PUDUCHERRY,ARIYANKUPPAM,2016-10-16 12:10:45
KHARIF,AGRICULTURE,Others,Others,Weather,weather forecast details for Pondicherry dist.,Recommended for today and tomorrow weather report is cloudy weather and possibility of no rain chances is there(0mm  ),PUDUCHERRY,PUDUCHERRY,VILLIANUR,2016-10-17 13:43:06
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Paddy top dressing fertilizer application,Recommended for apply 25 kg urea + 15 kg potash + 5 kg Neem cake  / acre. after 1 week MN mixture 5 kg mixed with 20 sand,PUDUCHERRY,PUDUCHERRY,OZHUKARAI,2016-10-18 7:22:21
KHARIF,AGRICULTURE,Pulses,Black Gram (urd bean),Varieties,blackgram availability,"Recommended for contact to Dr.J.R.Kannan Babu, Professor and Head, Department of Pulses, TNAU, Coimbatore-641003",PUDUCHERRY,PUDUCHERRY,Puducherry,2016-10-18 8:11:28
KHARIF,AGRICULTURE,Sugar and Starch Crops,Tapioca (Cassava),Plant Protection,asking about mealy bug in tapioca,Recommended for spray imidacloprid 1 ml + neem oil 3ml + teepol 1ml / lit of water,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-10-18 10:43:45
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,paddy  top dressing fertilizer management,"recommended for the fertilizers  : urea  25 kg ,potash  15 kg ,neem cake  10 kg /acre",PUDUCHERRY,PUDUCHERRY,VILLIANUR,2016-10-20 11:51:56
KHARIF,HORTICULTURE,Vegetables,Brinjal,Nutrient Management,Nutrient foliar spray of Brinjal,Reconmmended for give foliar spray 13:0:45 -5 g/1 litre of water,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-10-21 9:23:09
KHARIF,HORTICULTURE,Vegetables,Brinjal,Plant Protection,Shoot and fruit borer control in brinjal,recommended for spray Thiodicarb 2 g/lit of water,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-10-21 9:39:19
KHARIF,AGRICULTURE,Others,Others,Crop Insurance,Crop insurance of Coconut,Recommended for contact to nearby nationalized bank or agricultural co operative society,PUDUCHERRY,PUDUCHERRY,BAHOUR,2016-10-22 18:30:09
KHARIF,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Sowing Time and Weather,Sowing season for ground nut,Recommended for sowing (Karthigaipattam)November- December,PUDUCHERRY,PUDUCHERRY,VILLIANUR,2016-10-23 6:21:19
KHARIF,HORTICULTURE,Plantation Crops,Coconut,Market Information,Copra Market rate,Recommended for Copra Market rate Rs. 5036-5586/Quintal,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-10-24 15:11:02
KHARIF,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Varieties,Tapioca planting season,Recommended for Tapioca planting season of October - November,PUDUCHERRY,PUDUCHERRY,ARIYANKUPPAM,2016-10-27 11:17:39
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Plant Protection,Brown leaf spot management in paddy,Recommended spray mancozeb 2 g +sticking agent 0.5 ml/ litre of water,PUDUCHERRY,PUDUCHERRY,VILLIANUR,2016-10-28 13:29:37
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Plant Protection,Leaf folder control in paddy,recommended for spray CartapHydrochloride 2 g/lit of water,PUDUCHERRY,PUDUCHERRY,BAHOUR,2016-10-30 7:50:26
KHARIF,HORTICULTURE,Vegetables,Brinjal,Nutrient Management,asking about brinjal foliar application,Recommended for brinjal foliar spray for 19:19:19 50 gm / tank,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-10-30 17:36:59
KHARIF,AGRICULTURE,Others,Others,Weather,weather Report,Recommended for Today No Rain Fall,PUDUCHERRY,PUDUCHERRY,ARIYANKUPPAM                                       ,2016-10-01 10:51:07
KHARIF,HORTICULTURE,Vegetables,Brinjal,	Plant Protection	,shoot and fruit borer in brinjal,Recommended for spray chloripyriphos 2ml / lit of water,PUDUCHERRY,PUDUCHERRY,Mannadipet,2016-10-02 11:48:32
RABI,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,Top dressing fertilizer management for paddy,Recommended for apply urea 25 kg + potash 15 kg+ mn mixture 5 kg/ac.,PUDUCHERRY,PUDUCHERRY,VILLIANUR                                         ,2016-10-03 11:23:32
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,basal application for paddy,recommended for apply urea 30kg + SSP 125kg+ potash 15kg+neencake 20kg+zinc sulphate 15kg/ac,PUDUCHERRY,PUDUCHERRY,Nettapakkam,2016-10-05 17:27:32
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,paddy suitable variety in pondicherry,"recommended for I.White Ponni, CO 43, CR 1009, ADT 38, TRY 1*, ASD 19, ADT (R) 44, CORH 4, CO (R) 48, CO (R) 49, CO (R) 50, ADT (R) 49, TNAU Rice ADT 50",PUDUCHERRY,PUDUCHERRY,Mannadipet,2016-10-06 10:10:45
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Inducing more tillering in paddy crop,Recommended for apply  micro food 5 kg mixed with 20 kg of sand /acre,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-10-07 13:58:26
KHARIF,HORTICULTURE,Vegetables,Brinjal,Nutrient Management,Brinjal foliar spray information,Recommended for spray 19 : 19 : 19 5 g / 1 litre of water,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-10-08 10:55:19
KHARIF,HORTICULTURE,Vegetables,Brinjal,Nutrient Management,Asking about foliar nutrient spray for brinjal,Recommended for spray 19:19:19- 5 gram /litre of water,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-10-09 7:15:38
KHARIF,HORTICULTURE,Vegetables,Brinjal,Nutrient Management,Brinjal Growth regulators application,Recommended for Spray 2 ppm (2 mg/ lit of water) Triacontanol + Sodium Borate(Borax) or Borax 35 mg/l of water 15 days after transplanting and at the time of full bloom to increase the yield.,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-10-09 7:46:22
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,asking about paddy foliar application application,Recommended for spray urea 2.5 g + zinc 2.5 g / litre of water,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-10-09 10:25:41
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,asking about paddy fertilizer management,recommended for apply zinc sulphate 10 kg / ac,PUDUCHERRY,PUDUCHERRY,BAHOUR,2016-10-10 9:17:40
KHARIF,HORTICULTURE,Fruits,Guava,Nutrient Management,asking for the management of guava fruit canker,recommended for the spray with 1% Bordeaux mixture or lime-sulphur (1 in 25) – 3 or 4 sprayings.,PUDUCHERRY,PUDUCHERRY,Nettapakkam,2016-10-11 19:48:48
RABI,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,Thrips in paddy,Recommended for spray Dimethoate 2 ml+ Teepol 1 ml/litre of water.,PUDUCHERRY,PUDUCHERRY,VILLIANUR                                         ,2016-10-11 19:57:34
RABI,AGRICULTURE,Pulses,Black Gram (urd bean),Varieties,Sowing suitable varieties for black gram,"Recommended for varieties VBN 3, VBN (Bg) 4, VBN (Bg) 5, TNAU (Blackgram) VBN 6, TNAU (Blackgram) Co 6, APK 1",PUDUCHERRY,PUDUCHERRY,OZHUKARAI                                         ,2016-10-11 20:36:01
RABI,AGRICULTURE,Others,Others,Weather,Weather report for Pondicherry,Recommended for today have light rainfall.,PUDUCHERRY,PUDUCHERRY,VILLIANUR                                         ,2016-10-11 20:44:48
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Bio-Pesticides and Bio-Fertilizers,Manuring of Paddy as a basal,Recommended for apply Pseudomonas 1kg + FYM /acre,PUDUCHERRY,PUDUCHERRY,VILLIANUR                                         ,2016-10-12 7:14:49
KHARIF,HORTICULTURE,Plantation Crops,Cashew,	Plant Protection	,asking about cashew stem borer,recommended for Root feeding with Monocrotophos 36 WSC 10 ml + 10 ml of water kept in a polythene bag on one side of the tree,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-10-13 10:04:57
RABI,AGRICULTURE,Others,Others,	Field Preparation	,Casurina weed management,Recommended for only for hand weeding.,PUDUCHERRY,PUDUCHERRY,OZHUKARAI                                         ,2016-10-14 13:27:24
KHARIF,AGRICULTURE,Pulses,Black Gram (urd bean),Cultural Practices	,asking about blackgram sowing season,recommended for Puratasipattam (September-November) suitable for planting,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-10-15 21:19:26
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,foliar spray for paddy nursery,recommended for spray urea 5gm/lit of water,PUDUCHERRY,PUDUCHERRY,ARIYANKUPPAM                                       ,2016-10-16 12:06:48
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,basal application for paddy,recommended for apply urea 30kg + SSP 125kg+ potash 15kg+neencake 20kg+zinc sulphate 15kg/ac,PUDUCHERRY,PUDUCHERRY,ARIYANKUPPAM                                       ,2016-10-16 12:10:45
KHARIF,AGRICULTURE,Others,Others,Weather,weather forecast details for Pondicherry dist.,Recommended for today and tomorrow weather report is cloudy weather and possibility of no rain chances is there(0mm  ),PUDUCHERRY,PUDUCHERRY,VILLIANUR                                         ,2016-10-17 13:43:06
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,Paddy top dressing fertilizer application,Recommended for apply 25 kg urea + 15 kg potash + 5 kg Neem cake  / acre. after 1 week MN mixture 5 kg mixed with 20 sand,PUDUCHERRY,PUDUCHERRY,OZHUKARAI                                         ,2016-10-18 7:22:21
KHARIF,AGRICULTURE,Pulses,Black Gram (urd bean),Varieties,blackgram availability,"Recommended for contact to Dr.J.R.Kannan Babu, Professor and Head, Department of Pulses, TNAU, Coimbatore-641003",PUDUCHERRY,PUDUCHERRY,Puducherry,2016-10-18 8:11:28
KHARIF,AGRICULTURE,Sugar and Starch Crops,Tapioca (Cassava),	Plant Protection	,asking about mealy bug in tapioca,Recommended for spray imidacloprid 1 ml + neem oil 3ml + teepol 1ml / lit of water,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-10-18 10:43:45
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),Fertilizer Use and Availability,paddy  top dressing fertilizer management,"recommended for the fertilizers  : urea  25 kg ,potash  15 kg ,neem cake  10 kg /acre",PUDUCHERRY,PUDUCHERRY,VILLIANUR                                         ,2016-10-20 11:51:56
KHARIF,HORTICULTURE,Vegetables,Brinjal,Nutrient Management,Nutrient foliar spray of Brinjal,Reconmmended for give foliar spray 13:0:45 -5 g/1 litre of water,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-10-21 9:23:09
KHARIF,HORTICULTURE,Vegetables,Brinjal,	Plant Protection	,Shoot and fruit borer control in brinjal,recommended for spray Thiodicarb 2 g/lit of water,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-10-21 9:39:19
KHARIF,AGRICULTURE,Others,Others,Crop Insurance,Crop insurance of Coconut,Recommended for contact to nearby nationalized bank or agricultural co operative society,PUDUCHERRY,PUDUCHERRY,BAHOUR,2016-10-22 18:30:09
KHARIF,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Sowing Time and Weather,Sowing season for ground nut,Recommended for sowing (Karthigaipattam)November- December,PUDUCHERRY,PUDUCHERRY,VILLIANUR                                         ,2016-10-23 6:21:19
KHARIF,HORTICULTURE,Plantation Crops,Coconut,Market Information,Copra Market rate,Recommended for Copra Market rate Rs. 5036-5586/Quintal,PUDUCHERRY,PUDUCHERRY,Puducherry,2016-10-24 15:11:02
KHARIF,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Varieties,Tapioca planting season,Recommended for Tapioca planting season of October - November,PUDUCHERRY,PUDUCHERRY,ARIYANKUPPAM                                       ,2016-10-27 11:17:39
